# 始点 終点 営業キロ
# 御堂筋線
江坂 梅田 6.4
梅田 本町 2.2
本町 心斎橋 1
心斎橋 なんば 0.9
なんば 大国町 1.2
大国町 動物園前 1.2
動物園前 天王寺 1
天王寺 なかもず 10.6
# 谷町線
八尾南 天王寺 10.5
天王寺 谷町九丁目 1.7
谷町九丁目 谷町六丁目 0.9
谷町六丁目 谷町四丁目 1
谷町四丁目 南森町 2.7
南森町 東梅田 1.2
東梅田 天神橋筋六丁目 1.8
天神橋筋六丁目 太子橋今市 5.5
太子橋今市 大日 3
# 四つ橋線
西梅田 本町 2.2
本町 四ツ橋 1
四ツ橋 なんば 0.9
なんば 大国町 1.2
大国町 住之江公園 6.5
# 中央線
長田 緑橋 4.3
緑橋 森ノ宮 1.2
森ノ宮 谷町四丁目 1.3
谷町四丁目 堺筋本町 1
堺筋本町 本町 0.7
本町 阿波座 1.1
阿波座 コスモスクエア 8.3
# 千日前線
野田阪神 阿波座 1.9
阿波座 西長堀 1
西長堀 なんば 2
なんば 日本橋 0.7
日本橋 谷町九丁目 1
谷町九丁目 今里 2.6
今里 南巽 3.9
# 堺筋線
天下茶屋 動物園前 1.5
動物園前 日本橋 1.7
日本橋 長堀橋 0.9
長堀橋 堺筋本町 1
堺筋本町 南森町 1.7
南森町 天神橋筋六丁目 1.3
# 長堀鶴見緑地線
大正 西長堀 1.6
西長堀 心斎橋 1.1
心斎橋 長堀橋 0.7
長堀橋 谷町六丁目 1
谷町六丁目 森ノ宮 2.3
森ノ宮 蒲生四丁目 3.5
蒲生四丁目 門真南 4.8
# 今里筋線
井高野 太子橋今市 3.7
太子橋今市 蒲生四丁目 4.8
蒲生四丁目 緑橋 2.1
緑橋 今里 1.3
# ニュートラム
コスモスクエア 住之江公園 7.9
# 乗り換え
# 西梅田 梅田 transfer
# 梅田 東梅田 transfer
# 西梅田 東梅田 transfer # この行が無くても、上2行で梅田経由で繋がっているとみなす
心斎橋 四ツ橋 transfer
